id,name,latitude,longitude,timestamp,free_bikes,empty_slots,extra.uid,extra.number,extra.slots,extra.bike_uids,extra.virtual
066c99293af108ece27d9b0436c30cc4,Riverside Museum,55.865683,-4.305367,2025-07-09T21:08:32.812785+00:00Z,6,0,19738176,8416,6,"['38718', '46566', '828983', '46454', '828183', '828987']",False
0a106cbc148d5a0c2535b51c1dbe3b4d,Parkhead,55.846524,-4.197475,2025-07-09T21:08:32.813271+00:00Z,5,3,150125231,8470,8,"['82316', '840023', '46862', '46727', '47910']",False
0cc8c09950e1435ee7782478ed292fef,Tollcross International Swimming Centre,55.84425,-4.176167,2025-07-09T21:08:32.813078+00:00Z,7,0,55599921,8200,6,"['829308', '828253', '46967', '828964', '823601', '46456', '829990']",False
0e94d2ad012bff0cf23497963ff5fd77,Shields Road,55.845807,-4.275232,2025-07-09T21:08:32.812712+00:00Z,1,7,7145152,8403,8,['21031'],False
101c6cd7749f373507e9444f5222b7f2,Shawlands Shopping Centre (Kilmarnock Road),55.829057,-4.282675,2025-07-09T21:08:32.812496+00:00Z,2,6,3812605,8453,8,"['46587', '46514']",False
1036625d677b2d21e2aaec9fec0aa3cb,Shields Road Subway,55.849924,-4.273727,2025-07-09T21:08:32.813336+00:00Z,5,5,262742542,8482,10,"['823584', '46730', '46459', '47964', '828120']",False
10998482c3187c80b1fc322bee154cb6,Alexandra Parade (West) - ELECTRIC,55.864472,-4.223208,2025-07-09T21:08:32.812676+00:00Z,1,7,6269637,8468,8,['825886'],False
1172741997ccd599fa530bfb8451808c,City of Glasgow College (Riverside Campus) - ELECTRIC,55.850554,-4.248127,2025-07-09T21:08:32.812344+00:00Z,4,2,349453,8442,6,"['823505', '46548', '46453', '46435']",False
1179f511143ae9898181016b37d85b5a,Whiteinch Library,55.874555,-4.333357,2025-07-09T21:08:32.813118+00:00Z,4,4,55600284,8203,8,"['46932', '46796', '829218', '829153']",False
12aac9e40a335ee43b231c94972a7a69,St Rollox,55.878152,-4.242439,2025-07-09T21:08:32.812928+00:00Z,0,8,31234437,8236,8,[],False
1d0ef65099a882d9ca47c5e290a642a9,Corkerhill Railway Station,55.836355,-4.335149,2025-07-09T21:08:32.812981+00:00Z,2,8,42446574,8208,10,"['829999', '829970']",False
1e0594a2e0868d316521af81193bc19c,CoMo Pop up hub (temp),55.858285,-4.221215,2025-07-09T21:08:32.813401+00:00Z,0,1,481710184,8499,1,[],False
27e224157e6a5dcec09cd3ad37b62315,Springfield Quay 2,55.854391,-4.274764,2025-07-09T21:08:32.812615+00:00Z,0,6,6269603,8462,6,[],False
28ae77e57c39887ceab9e2b2eb3a0e3a,University of Strathclyde (South) - ELECTRIC,55.860633,-4.2419,2025-07-09T21:08:32.812250+00:00Z,2,10,266170,8433,12,"['47518', '46661']",False
2a86fb913aad33c3e3deee02dd93f76d,Buchanan Street Bus Station - ELECTRIC,55.864993,-4.252567,2025-07-09T21:08:32.812433+00:00Z,1,6,380893,8404,10,['38395'],False
2b7a24c5351796cdc372275308f7cfc9,Springburn Railway Station,55.882232,-4.230428,2025-07-09T21:08:32.812938+00:00Z,1,7,31475534,8237,8,['46927'],False
2c49302c8bb3a00373f898594228a941,London Road Central,55.847638,-4.202957,2025-07-09T21:08:32.813305+00:00Z,0,10,213996907,8474,10,[],False
2cfbd10e44bf17c20e682172e1cb026d,Glasgow Kelvin College East,55.857858,-4.203123,2025-07-09T21:08:32.813386+00:00Z,5,5,262744830,8489,10,"['82396', '840047', '823637', '823626', '47965']",False
2ee7f8a8347b8ee388d6beeef94c837d,Scotstoun South,55.875431,-4.342325,2025-07-09T21:08:32.813170+00:00Z,5,7,105741829,8311,12,"['22752', '47875', '823550', '46712', '46709']",False
3860eb7809fcced150d10d78ca2a165c,"University Hospital, Queen Eliza",55.862838,-4.341885,2025-07-09T21:08:32.812458+00:00Z,6,2,751103,8450,8,"['46981', '828985', '46767', '46647', '829969', '829289']",False
3870596cc1a00a724f4ed1037e103977,Pollokshaws West Railway Station,55.824907,-4.299678,2025-07-09T21:08:32.813327+00:00Z,0,10,262741426,8481,10,[],False
3c3dcd5ab1d1b41a307a4436823f798a,Kelvinhall Subway,55.870857,-4.300665,2025-07-09T21:08:32.813208+00:00Z,4,2,105742172,8314,6,"['823504', '46673', '829995', '829951']",False
3ddf8661cd54b63e042898f8c83b38e0,Glasgow Caledonian University - ELECTRIC,55.865817,-4.251367,2025-07-09T21:08:32.812194+00:00Z,2,4,266157,8405,6,"['22037', '828956']",False
3ff58e3afee22e9aeef8b1e95650e749,St George's Cross - ELECTRIC,55.871367,-4.269117,2025-07-09T21:08:32.811967+00:00Z,2,3,264294,8408,4,"['826830', '46687']",False
4569cc932fe326799b99930cad84c476,Possil Health Centre (Saracen Street) - ELECTRIC,55.881493,-4.254465,2025-07-09T21:08:32.812749+00:00Z,3,5,19548440,8414,8,"['828225', '823571', '46559']",False
47a68fd067ea7f71ee08c1fbdd7c9c9b,Glasgow Science Centre,55.8585,-4.292972,2025-07-09T21:08:32.812952+00:00Z,9,0,41822435,8426,10,"['47006', '47502', '46987', '46766', '46654', '46527', '46499', '828208', '828144']",False
540d5877eb2aa25add536be07be49962,Kelvinbridge Subway - ELECTRIC,55.87501,-4.280371,2025-07-09T21:08:32.812105+00:00Z,1,6,264303,8418,8,['46877'],False
5542f3a29121984f8bab4d281d63bedd,People's Palace,55.852086,-4.237032,2025-07-09T21:08:32.813376+00:00Z,0,10,262744061,8485,10,[],False
573cb802d312c0c7388eeb86b7df2b16,Maryhill Library,55.891127,-4.290879,2025-07-09T21:08:32.813029+00:00Z,3,5,42613824,8213,8,"['825559', '825893', '46754']",False
57d53cfefc9f5e8871e9758b1f6128f8,Clifton St / Kelvingrove Park East,55.86698,-4.278874,2025-07-09T21:08:32.813142+00:00Z,5,5,55600478,8205,10,"['82304', '828205', '46510', '47977', '829122']",False
5a527c8ff4d91a318d173dbdbce298c0,Eglinton Toll - ELECTRIC,55.843308,-4.26217,2025-07-09T21:08:32.812393+00:00Z,7,3,349458,8446,6,"['828315', '46545', '46533', '46419', '46407', '47907', '47947']",False
5a611496ed54f7f74525c262367db06f,Yorkhill Street South,55.864135,-4.292988,2025-07-09T21:08:32.813156+00:00Z,8,0,66595311,8310,8,"['825569', '47894', '46884', '46698', '828954', '46492', '828245', '828141']",False
5aef9920fd2384a972eafa84aa577439,Argyle Street Railway Station - ELECTRIC,55.857575,-4.249976,2025-07-09T21:08:32.812180+00:00Z,6,4,264392,8411,7,"['38265', '823534', '46802', '46738', '46642', '46414']",False
5c9021a0e68ddd0d3e47cc90e59c77c8,Pollokshields East Railway,55.841494,-4.269701,2025-07-09T21:08:32.812993+00:00Z,0,10,42487653,8210,10,[],False
5d5e2ae1a3a0fe0075c7a9d3432e736b,Cessnock Subway Station - ELECTRIC,55.85196,-4.294538,2025-07-09T21:08:32.812367+00:00Z,8,3,349455,8444,10,"['823589', '46911', '46792', '46716', '828931', '46649', '47932', '47928']",False
6006222102c4bdaf1e119fc089393312,Port Dundas,55.877822,-4.254817,2025-07-09T21:08:32.812688+00:00Z,1,7,6269638,8469,8,['828140'],False
6250eaa7a4d4ffac2452eb0509ccbd59,Broomhill,55.871005,-4.321313,2025-07-09T21:08:32.812898+00:00Z,11,0,31234355,8233,12,"['21093', '828219', '825646', '840031', '46894', '46870', '46830', '823607', '46740', '47968', '829171']",False
64351cf3fd58727dbb26147dec40e855,Duke Street Railway Station,55.858222,-4.213473,2025-07-09T21:08:32.812565+00:00Z,1,7,3812792,8458,8,['829143'],False
654cfe414a7d682dfffd1259586b364f,Scottish Event Campus (formerly S.E.C.C),55.859081,-4.287211,2025-07-09T21:08:32.812066+00:00Z,10,0,264300,8415,8,"['828992', '827933', '47611', '82463', '828963', '840033', '46963', '46785', '828982', '829070']",False
65a1fded1cfdaf39b8c7ea2cc561144b,Bellahouston Park,55.849072,-4.314376,2025-07-09T21:08:32.813093+00:00Z,2,6,55600054,8201,8,"['46786', '46515']",False
66bf0c2b0588b8c742caeb43d89a82c2,Alexandra Park (south entrance) Alexandra Parade Railway Station,55.863128,-4.210282,2025-07-09T21:08:32.812552+00:00Z,3,4,3812776,8457,7,"['46882', '46457', '829149']",False
6c5f3eaafa4323831910bb404125cef9,Glasgow Central West,55.858587,-4.259847,2025-07-09T21:08:32.812811+00:00Z,6,2,28521334,8216,8,"['46900', '46812', '46695', '46674', '46644', '46613']",False
6dd6aeaa689caacc619659b44bebb9c7,Clyde Place Quay,55.854931,-4.260144,2025-07-09T21:08:32.813349+00:00Z,4,6,262743248,8483,10,"['22480', '46720', '46473', '828123']",False
6e1c95db152793f835bd905855c13c04,Glasgow Green - Saltmarket / Clyde Place - ELECTRIC,55.853176,-4.246661,2025-07-09T21:08:32.812589+00:00Z,13,8,3812886,8460,8,"['46904', '46811', '46806', '46770', '46757', '46732', '46702', '46609', '46572', '46551', '46483', '46409', '829097']",False
6f47ac14f7aaa6b2c04936f30a5c2bb6,University of Glasgow (East) - ELECTRIC,55.871763,-4.27807,2025-07-09T21:08:32.812263+00:00Z,1,7,266171,8435,5,['38031'],False
70c80c14fe5f7f1049a85e33856137ec,Trongate,55.855961,-4.244671,2025-07-09T21:08:32.812236+00:00Z,5,0,266169,8431,5,"['823561', '46876', '46652', '46497', '47978']",False
71b02b6f26f03e58c97dec1e1c9faa00,Botanic Gardens - ELECTRIC,55.878278,-4.288487,2025-07-09T21:08:32.812091+00:00Z,3,5,264302,8417,8,"['823596', '46569', '829998']",False
7245bbeaa7a5357af921174d7ae855d4,Broomielaw - ELECTRIC,55.8566,-4.263521,2025-07-09T21:08:32.812051+00:00Z,3,10,264299,8413,16,"['22167', '47958', '828134']",False
7ad6b0b3be3cb3d85e687bdf53358611,The Round Toll,55.87422,-4.26136,2025-07-09T21:08:32.812836+00:00Z,1,7,28521431,8218,8,['829960'],False
7ae43e2d5ec8ea21445422bd2dcfcb2b,Govan Cross,55.862606,-4.311125,2025-07-09T21:08:32.812380+00:00Z,8,0,349456,8445,8,"['826879', '827031', '828201', '46848', '46835', '46759', '46487', '829161']",False
7f57f6deed054209b94f5d22e1bb5b68,Firhill Road - ELECTRIC,55.878787,-4.26877,2025-07-09T21:08:32.812700+00:00Z,2,5,6270126,8464,7,"['823631', '828308']",False
7fd473d65bb4ead7217d778a38d56dc2,Mount Vernon Railway Station,55.840336,-4.135251,2025-07-09T21:08:32.813003+00:00Z,3,5,42553766,8211,8,"['46834', '828249', '829148']",False
7fde42277f0af769fa2844ac44fb18bb,Cathcart Railway Station,55.817338,-4.262688,2025-07-09T21:08:32.812967+00:00Z,6,6,42417389,8206,12,"['828229', '828945', '828939', '823555', '46402', '829086']",False
80c191c76711807560f1dee0ec98b9c4,Langside Hall - ELECTRIC,55.831951,-4.277989,2025-07-09T21:08:32.812509+00:00Z,2,3,3812694,8454,4,"['22202', '828953']",False
8486f63f1088194889096079329cdbdb,Shawlands Railway Station - ELECTRIC,55.827371,-4.29567,2025-07-09T21:08:32.812523+00:00Z,8,2,3812713,8455,8,"['828995', '82390', '828280', '46986', '46910', '46820', '46506', '46500']",False
85c3b5be1873561dc445f46324d143b7,St Enoch Square - ELECTRIC,55.856859,-4.255593,2025-07-09T21:08:32.811982+00:00Z,2,10,264295,8410,12,"['828275', '46627']",False
8af6d6e52a43dc3df9086e10ab9da2a1,Waterloo Street - ELECTRIC,55.86077,-4.264535,2025-07-09T21:08:32.811899+00:00Z,1,11,264283,8402,12,['46735'],False
90ca952e355fd4673ea26061d13d8841,Anniesland Library,55.890398,-4.324766,2025-07-09T21:08:32.813042+00:00Z,6,4,42613965,8214,8,"['829303', '46874', '46856', '46657', '828314', '828087']",False
90f4aed9eeacf63d2f1a9af8ba77d5bc,Battlefield - ELECTRIC,55.827395,-4.265319,2025-07-09T21:08:32.812650+00:00Z,2,8,6269629,8466,10,"['46480', '828132']",False
94bb26490e1ac10b92057d2136aaec12,Stobhill Hospital,55.890389,-4.216525,2025-07-09T21:08:32.813196+00:00Z,2,9,105742063,8313,11,"['47852', '46531']",False
982a00e7910b5eaae622461281c86b53,Dalmarnock Railway Station - ELECTRIC,55.842561,-4.217704,2025-07-09T21:08:32.812537+00:00Z,6,1,3812770,8456,8,"['46988', '823634', '828265', '46539', '46446', '829194']",False
9b7e254f4f98c7ab070e5a9958d420ef,Glasgow Forge (Gallowgate),55.852705,-4.201594,2025-07-09T21:08:32.812772+00:00Z,3,4,19548760,8436,8,"['46619', '829978', '829955']",False
a087989280fd941fd9c41c3e787940ae,University of Strathclyde (North),55.862983,-4.241,2025-07-09T21:08:32.812156+00:00Z,0,3,264309,8424,3,[],False
a1829c3fd840369355ada2949567d15a,Central Station - ELECTRIC,55.860776,-4.258597,2025-07-09T21:08:32.812724+00:00Z,2,10,19164571,8401,14,"['46787', '47929']",False
a19e9249f64251a331f70f78845241c9,Queen Margaret Drive / Maryhill Road,55.8849,-4.281414,2025-07-09T21:08:32.812081+00:00Z,0,8,264301,8419,8,[],False
a5fe191b595724ce2fa7372b3ccca653,Kelvingrove Art Gallery - ELECTRIC,55.868352,-4.289405,2025-07-09T21:08:32.812118+00:00Z,3,7,264304,8420,10,"['47539', '828328', '829024']",False
a8db8c24388d5d0ce7143678dfa0e676,Gorbals Library,55.848564,-4.250996,2025-07-09T21:08:32.813056+00:00Z,0,8,42614033,8215,8,[],False
a9d5888ec8ab5a638fbe933e0a5311de,Queens Park West,55.835042,-4.272346,2025-07-09T21:08:32.812421+00:00Z,1,7,349461,8448,8,['46441'],False
aa439d2a415edfcb198febf8bf3cd7a7,St Andrews Drive - Dalziel Drive,55.840988,-4.289947,2025-07-09T21:08:32.813221+00:00Z,3,3,105742240,8315,6,"['46429', '829249', '829293']",False
aaaa2f4104d5aac71e81537d91745779,Blythswood Square,55.863885,-4.263682,2025-07-09T21:08:32.813363+00:00Z,8,0,262743571,8484,8,"['22785', '828979', '46721', '46700', '46666', '46665', '46470', '829981']",False
ab5e5dc12c8217d4077ba0df3970feb5,Glasgow Green,55.84945,-4.23375,2025-07-09T21:08:32.812036+00:00Z,5,7,264298,8412,12,"['47890', '828306', '828976', '46893', '828974']",False
abb478d282fc4352a662a4fb1308a544,Woodside (North) - ELECTRIC,55.875061,-4.270678,2025-07-09T21:08:32.812637+00:00Z,3,5,6269626,8465,8,"['47839', '46943', '46602']",False
abb4b8f19b7371a31a1773ddf19dac8c,Springfield Rd,55.848885,-4.20064,2025-07-09T21:08:32.813130+00:00Z,4,2,55600387,8204,6,"['46973', '46676', '46648', '828224']",False
ad008187b01147da4b6986fec9f25495,Bath Street,55.864132,-4.259101,2025-07-09T21:08:32.812861+00:00Z,1,7,28521513,8219,8,['38907'],False
af1d0f25cbc75377878349fde4d86133,Merchant Square - ELECTRIC,55.858167,-4.245483,2025-07-09T21:08:32.811950+00:00Z,1,7,264293,8407,8,['46550'],False
af89fc71d4e9b25fd63a7ae8861f4c03,Hampden Park and Ride,55.827974,-4.247278,2025-07-09T21:08:32.813234+00:00Z,2,2,105742309,8316,4,"['82349', '828295']",False
b205037f7c8a72a7acf2af890570bb16,Riddrie South,55.867405,-4.192788,2025-07-09T21:08:32.813016+00:00Z,2,6,42613734,8212,8,"['47915', '829156']",False
b60e67062c32d2147f8892de3a446610,Anderston West,55.861585,-4.274518,2025-07-09T21:08:32.813284+00:00Z,2,6,150125330,8472,8,"['46734', '829284']",False
b98603df18dece74e168037c3fe67a2c,Sauchiehall Street,55.865291,-4.261756,2025-07-09T21:08:32.812624+00:00Z,3,4,6269618,8463,7,"['82759', '46466', '46455']",False
ba4133ab0ad5c5b405a541c5dfa5814f,Finnieston Street,55.863422,-4.280677,2025-07-09T21:08:32.812290+00:00Z,8,2,315912,8438,8,"['826608', '825650', '825594', '46570', '46508', '47949', '829967', '829270']",False
ba6d3b1c4cafd1b3e29f950f613c4605,Queens Park Railway Station - ELECTRIC,55.834976,-4.265485,2025-07-09T21:08:32.812407+00:00Z,5,8,349460,8447,8,"['828248', '46840', '46468', '46430', '829195']",False
bc208a63ac25b883b9eb6e28bfff2f28,Shakespeare Street (Maryhill) - ELECTRIC,55.886934,-4.285022,2025-07-09T21:08:32.812736+00:00Z,4,2,19548002,8427,4,"['828955', '46725', '46424', '829986']",False
bfdb33b93e6a6a80f01c46a8284203e0,George Square - ELECTRIC,55.86155,-4.2494,2025-07-09T21:08:32.811930+00:00Z,3,7,264292,8406,10,"['826907', '828910', '826997']",False
c04c3fc64f0ba6c420bd3184f474bfc9,University of Glasgow (West),55.872774,-4.292135,2025-07-09T21:08:32.812131+00:00Z,3,3,264306,8422,8,"['47873', '825902', '46703']",False
c5fd8640b5ba2ad276663dac367fa293,Mount Florida Railway Station,55.827282,-4.259255,2025-07-09T21:08:32.812662+00:00Z,3,2,6269636,8467,4,"['47895', '46653', '829964']",False
c7102adc0e91f9d347ac0e230471e8bc,Carrick Quay,55.85476,-4.25164,2025-07-09T21:08:32.812848+00:00Z,8,0,28521474,8231,8,"['828933', '46940', '46975', '823632', '46634', '46621', '46611', '828213']",False
c8234c56f76f3f84d81c54ceedbdab54,Anderston Railway Station,55.859996,-4.270163,2025-07-09T21:08:32.813183+00:00Z,3,3,105741985,8312,6,"['38868', '46667', '46535']",False
caf64729d7f752ab99f5a2c600a089c6,St Andrews Drive @ Maxwell Drive,55.845518,-4.286476,2025-07-09T21:08:32.812913+00:00Z,5,3,31234411,8235,8,"['823527', '46763', '47920', '829987', '829124']",False
d1cfef68e6b380467d3f8927379319b3,Glasgow Cathedral - ELECTRIC,55.862973,-4.237745,2025-07-09T21:08:32.812023+00:00Z,0,6,264296,8409,6,[],False
d204cd406e1b7af53252157f13d4df60,Burrell Collection,55.829914,-4.306877,2025-07-09T21:08:32.813106+00:00Z,2,4,55600156,8202,6,"['46645', '46558']",False
d33c72793e492060711833bcbbd2667e,King Street South,55.85586,-4.24695,2025-07-09T21:08:32.812873+00:00Z,5,3,28521547,8230,8,"['46948', '46928', '46585', '46486', '829177']",False
d609f2455b3dbc528814c140c6d86413,Gartnavel General Hospital,55.883971,-4.31046,2025-07-09T21:08:32.812445+00:00Z,2,4,733236,8449,6,"['46685', '829979']",False
d80f772bb69ca8c783940446811dda56,Kelvinhaugh Street / Argyle Street - ELECTRIC,55.865222,-4.286127,2025-07-09T21:08:32.812486+00:00Z,0,4,3812438,8451,8,[],False
d9eacbf78518d186400386d90f0cf49c,Broomhill Cross,55.875865,-4.319601,2025-07-09T21:08:32.813314+00:00Z,5,5,213997157,8480,10,"['46992', '828296', '46669', '828212', '46501']",False
dd9ad2381ac6eb2e2826d3d8104297ec,Queen Street Railway ,55.862102,-4.252307,2025-07-09T21:08:32.813065+00:00Z,3,7,45172531,8740,10,"['828940', '46413', '829142']",False
e1d3e09da4969404a689700ed36b5d56,Partick Interchange ,55.869707,-4.308459,2025-07-09T21:08:32.812275+00:00Z,10,0,266218,8423,8,"['826626', '47898', '828211', '46888', '46598', '46594', '46540', '46502', '47972', '47948']",False
e6e70fe059c3461f05eff24ccab6c09d,Ibrox,55.850987,-4.301448,2025-07-09T21:08:32.812799+00:00Z,3,5,21603723,8452,8,"['46985', '46571', '829167']",False
e7b590304d2ae958110e34961830ce68,Maryland Drive,55.846552,-4.332797,2025-07-09T21:08:32.813259+00:00Z,3,7,115737132,8209,10,"['46541', '829957', '829288']",False
e828a82c55b279cd1e7f5f9997d86d4b,Gallery of Modern Art - ELECTRIC,55.859716,-4.251945,2025-07-09T21:08:32.812221+00:00Z,12,4,266168,8430,12,"['47540', '46589', '46993', '828234', '46795', '46711', '46699', '46495', '46440', '47935', '829227', '828142']",False
e90cf64c1ad4360e9827143bd9234ef8,Springfield Quay 1,55.855185,-4.273478,2025-07-09T21:08:32.812603+00:00Z,1,5,6269590,8461,6,['829993'],False
e9411faefce1d3a87601ad2dae1d1efc,Hyndland Road ,55.876975,-4.306222,2025-07-09T21:08:32.812886+00:00Z,1,7,31234332,8232,8,['828903'],False
eb47a36e3d5fe5bc456397413bd2aa75,Bridge Street Subway - ELECTRIC,55.8525,-4.25885,2025-07-09T21:08:32.812166+00:00Z,1,4,264316,8432,5,['46731'],False
ec3d6eba43f27b84b35067a84fbc00c9,Barrowlands - ELECTRIC,55.855152,-4.235294,2025-07-09T21:08:32.812318+00:00Z,6,3,349451,8440,10,"['47618', '823506', '46747', '46603', '47768', '829316']",False
ed8440d874a0b4205ddbcc0bc56f3d49,Emirates Arena,55.846362,-4.208322,2025-07-09T21:08:32.812208+00:00Z,2,10,266166,8428,12,"['46746', '46460']",False
ef89ae581497a99c0a1d61db38e53380,Paisley Road Toll - ELECTRIC ,55.85378,-4.279158,2025-07-09T21:08:32.812357+00:00Z,0,9,349454,8443,10,[],False
f3ad8b8957d8be86ce18b8c9a43f02e1,Bellgrove Railway Station (North) - ELECTRIC ,55.858123,-4.224511,2025-07-09T21:08:32.812305+00:00Z,4,2,349450,8439,6,"['829273', '46469', '47934', '829989']",False
f5ac5a0223f0c88e225aa7c4d63d55f5,Broomielaw West ,55.85658,-4.26887,2025-07-09T21:08:32.812823+00:00Z,2,6,28521383,8217,8,"['46853', '829125']",False
f6210447e1724487afe0ce63b011aecd,Knightswood Park,55.895974,-4.354877,2025-07-09T21:08:32.813296+00:00Z,0,10,213996668,8473,10,[],False
f66dbb6e5176c4419ad1be87ea0c300d,Speirs Wharf - ELECTRIC,55.870992,-4.260426,2025-07-09T21:08:32.812577+00:00Z,1,5,3812875,8459,7,['47833'],False
f6b64fd82fe6e607f1fc788ace31c3a1,Fullarton,55.837175,-4.170209,2025-07-09T21:08:32.813246+00:00Z,3,9,114446999,8234,12,"['47334', '828994', '46917']",False
f806566ccd2263bd5dbb624cdd0fb7f3,Bridgeton,55.848939,-4.226823,2025-07-09T21:08:32.812331+00:00Z,6,2,349452,8441,8,"['46998', '828973', '828220', '46623', '46448', '829217']",False
f93ab2c803d81c14f7e2f1765911de04,Charing Cross Railway Station,55.864563,-4.270055,2025-07-09T21:08:32.812472+00:00Z,6,2,3456076,8421,8,"['47148', '47634', '828236', '46871', '46616', '829292']",False
fa6bc682e8627d66891c2b6250c81b1e,Mitchell Library,55.864788,-4.271852,2025-07-09T21:08:32.812144+00:00Z,4,2,264308,8425,6,"['82453', '47859', '825901', '829950']",False
faf9e8803c8d80741d74f98cb9ba8337,Cambridge Street - ELECTRIC,55.865063,-4.260291,2025-07-09T21:08:32.812762+00:00Z,0,7,19548484,8434,7,[],False
